lemma,inferred,segmentation,member1,member1_category,member1_subcategory,member2,member2_category,member2_subcategory,analysis_count,member_count
ἀμφιδρυφής,0,ἀμφι+δρυφής,ἀμφί,r,,δρύπτω,v,thematic,1,2
ἀμφιδρυφής,0,ἀμφι+δρυφής,ἀμφί,r,,δρύφω,v,thematic,1,2
ἀμφιέλισσος,1,ἀμφι+έλισσος,ἀμφί,r,,ἐλίσσω,v,thematic,1,2
ἀμφιθαλής,0,ἀμφι+θαλής,ἀμφί,r,,θάλλω,v,thematic,1,2
ἀμφίθετος,0,ἀμφί+θετος,ἀμφί,r,,τίθημι,v,athematic,1,2
Ἀμφίθοος,0,Ἀμφί+θοος,ἀμφί,r,,θέω,v,thematic,1,2
Ἀμφικλῆς,0,Ἀμφι+κλῆς,ἀμφί,r,,κλέος,n,s-stem,2,2
Ἀμφικλῆς,0,Ἀμφι+κλῆς,ἀμφί,r,,κλέω,v,thematic,2,2
ἀμφίκομος,0,ἀμφί+κομος,ἀμφί,r,,κόμη,n,-ā/a,1,2
ἀμφικύπελλος,0,ἀμφι+κύπελλος,ἀμφί,r,,κύπελλον,n,thematic,1,2
ἀμφιλύκη,0,ἀμφι+λύκη,ἀμφί,r,,λύκη?,n,-ā/a,1,2
Ἀμφίμαχος,0,Ἀμφί+μαχος,ἀμφί,r,,μάχη,n,-ā/a,1,2
Ἀμφίμαχος,0,Ἀμφί+μαχος,ἀμφί,r,,μάχομαι,v,thematic,1,2
ἀμφιμέλας,0,ἀμφι+μέλας,ἀμφί,r,,μέλας,a,n-stem,1,2
Ἀμφίνομος,0,Ἀμφί+νομος,ἀμφί,r,,νέμω,v,thematic,1,2
ἀμφίπολος,0,ἀμφί+πολος,ἀμφί,r,,πέλω,v,thematic,1,2
ἀμφιστρεφής,0,ἀμφι+στρεφής,ἀμφί,r,,στρέφω,v,thematic,1,2
ἀμφίφαλος,0,ἀμφί+φαλος,ἀμφί,r,,φαλός,n,thematic,1,2
ἀμφίφορος,1,ἀμφί+φορος,ἀμφί,r,,φέρω,v,thematic,1,2
ἀμώμητος,0,ἀ+μώμητος,ἀ/ἀν,d,,μωμέω,v,thematic,1,2
ἀνάβλησις,0,ἀνά+βλησις,ἀνά,r,,βάλλω,v,thematic,1,2
ἀναδέσμη?,0,ἀνα+δέσμη?,ἀνά,r,,δεσμός ,n,thematic,1,2
ἀνάεδνος,0,ἀν+άεδνος,ἀ/ἀν,d,,ἕδνον,n,thematic,1,2
ἀναιδής,0,ἀν+αιδής,ἀ/ἀν,d,,αἰδώς,n,s-stem,1,2
ἀναίμων ,0,ἀν+αίμων ,ἀ/ἀν,d,,αἶμα,n,n-stem,1,2
ἀναιμωτί,0,ἀν+αιμωτί,ἀ/ἀν,d,,αἶμα,n,n-stem,1,2
ἀναίτιος,0,ἀν+αίτιος,ἀ/ἀν,d,,αἰτία,n,-ā/a,1,2
ἄναλκις,0,ἄν+αλκις,ἀ/ἀν,d,,ἀλκή,n,-ā/a,1,2
ἀνάπνευσις,0,ἀν+άπνευσις,ἀνά,r,,πνεύω,v,thematic,1,2
ἀνάποινος,0,ἀν+άποινος,ἀ/ἀν,d,,ἄποινα,n,thematic,1,2
ἀνάρσιος,0,ἀν+άρσιος,ἀ/ἀν,d,,-αρσ-?,?,,1,2
ἄναρχος,0,ἄν+αρχος,ἀ/ἀν,d,,ἀρχός,n,thematic,1,2
ἀνασταδόν,0,ἀνα+σταδόν,ανά,r,,ἵστημι,v,athematic,1,2
ἀναφανδά,0,ἀνα+φανδά,ἀνά,r,,φαίνω,v,thematic,1,2
ἀνδράγριος,0,ἀνδρ+άγριος,ἀνήρ,n,r-stem,ἄγρα?,n,-ā/a,1,2
Ἀνδραίμων,0,Ἀνδρ+αίμων,ἀνήρ,n,r-stem,αἶμα,n,n-stem,1,2
ἀνδράποδον,0,ἀνδρά+ποδον,ἀνήρ?,n,r-stem,ποῦς?,n,C-stem,1,2
ἀνδρειφόντης,0,ἀνδρει+φόντης,ἀνήρ,n,r-stem,θείνω,v,thematic,1,2
ἀνδρόκμητος,0,ἀνδρό+κμητος,ἀνήρ,n,r-stem,κάμνω,v,thematic,1,2
ἀνδροκτασία,0,ἀνδρο+κτασία,ἀνήρ,n,r-stem,κτείνω,v,thematic,1,2
Ἀνδρομάχη,0,Ἀνδρο+μάχη,ἀνήρ,n,r-stem,μάχη,n,-ā/a,1,2
ἀνδρόμαχος,1,Ἀνδρό+μαχος,ἀνήρ,n,r-stem,μάχομαι,v,thematic,1,2
ἀνδροφόνος,0,ἀνδρο+φόνος,ἀνήρ,n,r-stem,θείνω,v,thematic,1,2
ἀνεμοσκεπής ,0,ἀνεμο+σκεπής ,ἄνεμος,n,thematic,σκέπω,v,thematic,1,2
ἀνεμοτρεφής,0,ἀνεμο+τρεφής,ἄνεμος,n,thematic,τρέφω,v,thematic,1,2
ἀνέμωρος,1,ἀνέμ+ωρος,ἄνεμος,n,thematic,ὄρος?,?,-ā/a,1,2
ἀνέστιος,0,ἀν+έστιος,ἀ/ἀν,d,,ἐστία,n,-ā/a,1,2
ἀνήκεστος,0,ἀν+ήκεστος,ἀ/ἀν,d,,ἀκέομαι,v,thematic,1,2
Ἀνθήδων,0,Ἀνθ+ήδων,ἀντί,r,,ἥδομαι,v,thematic,1,2
ἀνίδρως,1,ἀν+ίδρως,ἀ/ἀν,d,,ἱδρώς,n,s-stem,1,2
ἀνόλεθρος,0,ἀν+όλεθρος,ἀ/ἀν,d,,ὄλεθρος,n,thematic,1,2
ἄνοος,0,ἄ+νοος,ἀ/ἀν,d,,νοῦς,n,u-stem,1,2
ἀνούτατος,0,ἀν+ούτατος,ἀ/ἀν,d,,οὐτάω,v,thematic,1,2
ἀνουτητί,0,ἀν+ουτητί,ἀ/ἀν,d,,οὐτάω,v,thematic,1,2
ἀντάξιος,0,ἀντ+άξιος,ἀντί,r,,ἄξιος,a,thematic,1,2
Ἀντήνωρ,0,Ἀν+τήνωρ,ἀντί,r,,ἀνήρ,n,r-stem,1,2
ἀντιάνειρα,0,ἀντι+άνειρα,ἀντί,r,,ἀνήρ,n,r-stem,1,2
ἀντίβιος,0,ἀντί+βιος,ἀντί,r,,βία,n,-ā/a,1,2
ἀντίθεος,0,ἀντί+θεος,ἀντί,r,,θεός,n,thematic,1,2
ἀντικρύ,0,ἀντι+κρύ,ἀντί,r,,κρούω?,v,thematic,1,2
Ἀντίλοχος,0,Ἀντί+λοχος,ἀντί,r,,λέχομαι?,v,thematic,1,2
Ἀντίμαχος,0,ἀντί+μαχος,ἀντί,r,,μάχομαι,v,thematic,1,2
ἄντιτος,0,ἄν[τι]+τιτος,ἀντί,r,,τίνω,v,thematic,1,2
Ἀντιφάτης,0,Ἀντι+φάτης,ἀντί,r,,φημί,v,athematic,1,2
Ἀντίφονος,0,Ἀντί+φονος,ἀντί,r,,θείνω,v,thematic,1,2
ἀνώϊστος,0,ἀν+ώϊστος,ἀ/ἀν,d,,οἶδα,v,athematic,1,2
Ἄξυλος,0,Ἄ+ξυλος,ἀ/ἀν,d,,ξύλον,n,thematic,1,2
ἀπάλαμνος,0,ἀ+πάλαμνος,ἀ/ἀν,d,,παλάμη,n,-ā/a,1,2
ἁπαλοτρεφής,0,ἁπαλο+τρεφής,ἁπαλός,a,thematic,τρέφω,v,thematic,1,2
ἄπαστος,0,ἄ+παστος,ἀ/ἀν,d,,πατέομαι,v,thematic,1,2
ἀπείρητος,0,ἀ+πείρητος,ἀ/ἀν,d,,πειράω,v,thematic,1,2
ἀπείρων,0,ἀ+πείρων,ἀ/ἀν,d,,πεῖραρ,n,r-stem,1,2
ἀπερείσιος,0,ἀ+περείσιος,ἀ/ἀν,d,,πεῖραρ,n,r-stem,1,2
ἀπήμων,0,ἀ+πήμων,ἀ/ἀν,d,,πῆμα,n,n-stem,1,2
ἄπιστος,0,ἄ+πιστος,ἀ/ἀν,d,,πείθω,v,thematic,1,2
ἄπιστος,0,ἄ+πιστος,ἀ/ἀν,d,,πίστις,n,i-stem,1,2
ἀπόβλητος,0,ἀπό+βλητος,ἀπό,r,,βάλλω,v,thematic,1,2
ἀποθύμιος,0,ἀπο+θύμιος,ἀπό,r,,θυμός,n,thematic,1,2
ἀπόρθητος,0,ἀ+πόρθητος,ἀ/ἀν,d,,πορθέω,v,thematic,1,2
ἀπορρώξ,0,ἀπο+ρρώξ,ἀπό,r,,ρήγνυμι,v,athematic,1,2
ἀποσταδόν,0,ἀπο+σταδόν,ἀπό,r,,ἵστημι,v,athematic,1,2
ἄποτμος,0,ἄ+ποτμος,ἀ/ἀν,d,,πότμος,n,thematic,1,2
ἄπρηκτος,0,ἄ+πρηκτος,ἀ/ἀν,d,,πράσσω,v,thematic,1,2
ἀπτοεπής,0,ἀπτο+επής,ἀπτο-?,?,,ἔπος,n,s-stem,1,2
ἀπτόλεμος,0,ἀ+πτόλεμος,ἀ/ἀν,d,,πόλεμος,n,thematic,1,2
ἄπυρος,0,ἄ+πυρος,ἀ/ἀν,d,,πῦρ,n,r-stem,1,2
Ἀραιθυρέα,0,Ἀραι+θυρέα,ἀραιός,a,thematic,θύρη,n,-ā/a,1,2
ἀργεϊφόντης,0,ἀργεϊ+φόντης,Ἄργος,n,s-stem,θείνω,v,thematic,1,2
ἀργικέραυνος,0,ἀργι+κέραυνος,ἀργός,a,thematic,κεραυνός,n,thematic,1,2
ἀργιόδων,0,ἀργι+όδων,ἀργός,a,thematic,ὀδών,n,n-stem,1,2
ἀργίπους,0,ἀργί+πους,ἀργός,a,thematic,ποῦς,n,C-stem,1,2
ἀργυροδίνης,0,ἀργυρο+δίνης,ἄργυρος,n,thematic,δινέω,v,thematic,1,2
ἀργυροδίνης,0,ἀργυρο+δίνης,ἄργυρος,n,thematic,δῖνος,n,thematic,1,2
ἀργυρόηλος,0,ἀργυρό+ηλος,ἄργυρος,n,thematic,ἧλος,n,s-stem,1,2
